Referencia;Nº de cuenta;Importe;Moneda;Fecha valor;Concepto
OP-2026001046;ES5401280000160000000029;960,05;USD;22/09/2026;Alquiler
OP-2026001047;ES3101280000140000000153;1.053,20;USD;22/09/2026;Suministros
OP-2026001048;ES7501280000150000000088;902,14;EUR;16/09/2026;Alquiler
OP-2026001049;ES0600490000090000000120;969,37;USD;14/09/2026;Servicios profesionales
OP-2026001050;ES0621000000690000000095;1.050,77;EUR;23/09/2026;Viajes
OP-2026001051;ES4201280000170000000099;976,30;USD;19/09/2026;Proveedor
OP-2026001052;ES6101280000110000000051;16.863,10;MXN;16/09/2026;Comisiones
OP-2026001053;ES7920850000120000000176;638,99;EUR;20/09/2026;Formación
OP-2026001054;ES0701280000170000000050;1.183,36;EUR;13/09/2026;Proveedor
OP-2026001055;ES3400810000510000000133;731,85;EUR;26/09/2026;Servicios profesionales
OP-2026001056;ES1501280000130000000005;19.966,81;MXN;20/09/2026;Seguros
OP-2026001057;ES6701820000910000000047;324,10;EUR;21/09/2026;Proveedor
OP-2026001058;ES8020850000110000000207;12.636,06;MXN;18/09/2026;Comisiones
OP-2026001059;ES5121000000690000000061;918,24;EUR;14/09/2026;Proveedor
OP-2026001060;ES7520850000130000000102;1.087,21;EUR;27/09/2026;Nómina
OP-2026001061;ES2420850000110000000245;827,01;EUR;18/09/2026;Servicios profesionales
OP-2026001062;ES7101280000160000000111;1.021,51;EUR;21/09/2026;Mantenimiento
OP-2026001063;ES7521000000660000000164;15.458,98;MXN;19/09/2026;Servicios profesionales
OP-2026001064;ES3720850000170000000008;1.097,54;EUR;18/09/2026;Servicios profesionales
OP-2026001065;ES2620850000170000000012;884,10;EUR;13/09/2026;Suministros
OP-2026001066;ES0800810000590000000209;752,31;EUR;22/09/2026;Servicios profesionales
OP-2026001067;ES4700810000510000000093;16.064,54;MXN;19/09/2026;Licencias de software
OP-2026001068;ES7601820000920000000030;737,82;EUR;27/09/2026;Transporte
OP-2026001069;ES0600490000090000000120;895,03;EUR;18/09/2026;Servicios profesionales
OP-2026001070;ES6000810000540000000100;829,19;EUR;25/09/2026;Proveedor
OP-2026001071;ES6520850000110000000186;17.202,86;MXN;19/09/2026;Servicios profesionales
OP-2026001072;ES3220850000100000000053;1.059,85;EUR;20/09/2026;Nómina
OP-2026001073;ES9201820000900000000034;791,68;USD;13/09/2026;Seguros
OP-2026001074;ES3400810000510000000133;906,44;EUR;14/09/2026;Servicios profesionales
OP-2026001075;ES7120850000100000000224;804,63;EUR;25/09/2026;Publicidad
OP-2026001076;ES4901820000960000000126;768,02;USD;15/09/2026;Seguros
OP-2026001077;ES8100810000500000000112;734,15;USD;20/09/2026;Suministros
OP-2026001078;ES2420850000110000000245;1.009,26;EUR;21/09/2026;Licencias de software
OP-2026001079;ES8700810000550000000244;901,98;USD;15/09/2026;Servicios profesionales
OP-2026001080;ES2620850000170000000012;889,75;EUR;22/09/2026;Licencias de software
OP-2026001081;ES3701280000190000000188;4.158.026,58;COP;17/09/2026;Alquiler
OP-2026001082;ES0701280000170000000050;22.624,22;MXN;23/09/2026;Transporte
OP-2026001083;ES6600810000500000000091;762,39;EUR;18/09/2026;Material de oficina
OP-2026001084;ES1420850000150000000132;690,41;EUR;25/09/2026;Proveedor
OP-2026001085;ES7521000000610000000021;1.149,09;EUR;24/09/2026;Licencias de software
OP-2026001086;ES2420850000110000000245;874,83;EUR;27/09/2026;Nómina
OP-2026001087;ES4221000000680000000175;12.536,31;MXN;13/09/2026;Mantenimiento
OP-2026001088;ES2101820000910000000002;927,80;EUR;21/09/2026;Mantenimiento
OP-2026001089;ES4800490000040000000094;913,64;EUR;15/09/2026;Material de oficina
OP-2026001090;ES8020850000110000000207;3.797.590,54;COP;24/09/2026;Viajes
OP-2026001091;ES8100810000530000000062;4.161.536,77;COP;14/09/2026;Formación
OP-2026001092;ES6101820000980000000103;542,01;EUR;22/09/2026;Mantenimiento
OP-2026001093;ES4000810000560000000071;993,96;EUR;15/09/2026;Nómina
OP-2026001094;ES3500810000550000000113;905,08;EUR;19/09/2026;Material de oficina
OP-2026001095;ES2701280000110000000178;587,77;EUR;18/09/2026;Publicidad
OP-2026001096;ES9100810000580000000025;1.121,45;EUR;20/09/2026;Licencias de software
OP-2026001097;ES5901280000170000000084;841,91;EUR;20/09/2026;Servicios profesionales
OP-2026001098;ES3421000000660000000223;14.293,80;MXN;16/09/2026;Viajes
OP-2026001099;ES6600810000500000000091;1.324,51;USD;23/09/2026;Alquiler
OP-2026001100;ES6201820000960000000183;821,75;EUR;19/09/2026;Proveedor
OP-2026001101;ES6400490000020000000195;12.811,66;MXN;16/09/2026;Suministros
OP-2026001102;ES5600810000510000000125;713,79;EUR;22/09/2026;Transporte
OP-2026001103;ES8620850000160000000242;820,53;EUR;20/09/2026;Servicios profesionales
OP-2026001104;ES8401280000130000000121;835,60;EUR;27/09/2026;Proveedor
OP-2026001105;ES7020850000180000000044;846,82;EUR;13/09/2026;Transporte
OP-2026001106;ES0421000000600000000087;923,11;EUR;26/09/2026;Seguros
OP-2026001107;ES2121000000690000000019;805,15;EUR;15/09/2026;Transporte
OP-2026001108;ES8100810000530000000062;812,71;USD;26/09/2026;Material de oficina
OP-2026001109;ES1200810000560000000090;702,02;EUR;17/09/2026;Comisiones
OP-2026001110;ES7320850000190000000038;470,04;EUR;13/09/2026;Mantenimiento
OP-2026001111;ES3600810000530000000193;933,01;EUR;16/09/2026;Proveedor
OP-2026001112;ES3500810000580000000160;733,02;EUR;25/09/2026;Material de oficina
OP-2026001113;ES9201280000120000000220;1.243,71;USD;17/09/2026;Formación
OP-2026001114;ES9100810000580000000025;919,43;EUR;21/09/2026;Servicios profesionales
OP-2026001115;ES1800810000550000000225;747,16;EUR;15/09/2026;Comisiones
OP-2026001116;ES5520850000150000000170;1.165,03;USD;25/09/2026;Seguros
OP-2026001117;ES9121000000610000000218;747,54;EUR;25/09/2026;Publicidad
OP-2026001118;ES8120850000180000000234;708,99;EUR;16/09/2026;Viajes
OP-2026001119;ES6700490000010000000190;1.140,67;EUR;20/09/2026;Formación
OP-2026001120;ES7101280000160000000111;838,74;EUR;16/09/2026;Seguros
OP-2026001121;ES5801280000190000000101;1.199,07;EUR;17/09/2026;Mantenimiento
OP-2026001122;ES5520850000150000000170;17.151,34;MXN;25/09/2026;Viajes
OP-2026001123;ES8020850000110000000013;1.080,05;EUR;18/09/2026;Publicidad
OP-2026001124;ES8521000000620000000083;663,73;EUR;19/09/2026;Transporte
OP-2026001125;ES7620850000110000000085;726,32;EUR;26/09/2026;Viajes
OP-2026001126;ES3900810000540000000187;849,21;EUR;14/09/2026;Viajes
OP-2026001127;ES5900810000550000000166;17.135,83;MXN;20/09/2026;Seguros
OP-2026001128;ES8721000000680000000141;716,84;EUR;23/09/2026;Comisiones
OP-2026001129;ES9120850000110000000009;1.327,20;EUR;15/09/2026;Suministros
OP-2026001130;ES5121000000690000000061;1.207,14;USD;15/09/2026;Nómina
OP-2026001131;ES7101280000160000000111;17.339,07;MXN;19/09/2026;Seguros
OP-2026001132;ES8321000000620000000119;994,29;USD;15/09/2026;Material de oficina
OP-2026001133;ES6700490000010000000190;1.118,37;EUR;13/09/2026;Material de oficina
OP-2026001134;ES5900490000010000000237;746,02;EUR;13/09/2026;Seguros
OP-2026001135;ES9301280000190000000247;1.216,66;USD;16/09/2026;Proveedor
OP-2026001136;ES0520850000170000000196;967,02;EUR;21/09/2026;Proveedor
OP-2026001137;ES6400490000020000000195;736,91;EUR;25/09/2026;Seguros
OP-2026001138;ES3421000000660000000223;1.080,39;EUR;21/09/2026;Suministros
OP-2026001139;ES5901280000140000000037;3.296.801,15;COP;25/09/2026;Transporte
OP-2026001140;ES4400810000520000000098;10.505,11;MXN;20/09/2026;Comisiones
OP-2026001141;ES0220850000100000000205;587,32;EUR;25/09/2026;Licencias de software
OP-2026001142;ES2620850000170000000012;2.959.721,70;COP;24/09/2026;Licencias de software
OP-2026001143;ES7600490000040000000172;740,06;EUR;23/09/2026;Licencias de software
OP-2026001144;ES9600490000020000000007;444,88;EUR;24/09/2026;Licencias de software
OP-2026001145;ES4221000000680000000175;21.043,16;MXN;21/09/2026;Servicios profesionales
OP-2026001146;ES7601820000920000000030;764,14;EUR;14/09/2026;Transporte
OP-2026001147;ES2720850000120000000045;836,28;EUR;27/09/2026;Proveedor
OP-2026001148;ES0600490000090000000120;788,64;EUR;23/09/2026;Nómina
OP-2026001149;ES3000810000570000000105;852,04;EUR;23/09/2026;Viajes
OP-2026001150;ES3820850000150000000185;3.266.216,72;COP;26/09/2026;Seguros
OP-2026001151;ES3600810000530000000193;1.016,55;EUR;14/09/2026;Seguros
OP-2026001152;ES6600810000500000000091;844,18;USD;13/09/2026;Transporte
OP-2026001153;ES9620850000120000000064;724,99;EUR;16/09/2026;Nómina
OP-2026001154;ES4300810000570000000162;834,23;USD;16/09/2026;Licencias de software
OP-2026001155;ES7501820000900000000243;24.304,37;MXN;16/09/2026;Proveedor
OP-2026001156;ES3421000000690000000173;721,41;EUR;19/09/2026;Viajes
OP-2026001157;ES5701820000950000000128;1.156,34;USD;23/09/2026;Suministros
OP-2026001158;ES7801280000160000000179;755,41;EUR;14/09/2026;Alquiler
OP-2026001159;ES5600810000510000000125;837,08;EUR;13/09/2026;Comisiones
OP-2026001160;ES6920850000110000000211;13.693,21;MXN;19/09/2026;Transporte
OP-2026001161;ES9500810000540000000149;3.006.776,42;COP;17/09/2026;Publicidad
OP-2026001162;ES7620850000110000000085;713,91;EUR;23/09/2026;Mantenimiento
OP-2026001163;ES9720850000160000000238;14.758,10;MXN;21/09/2026;Publicidad
OP-2026001164;ES5600810000510000000125;977,35;USD;26/09/2026;Transporte
OP-2026001165;ES3801820000960000000033;528,60;EUR;26/09/2026;Seguros
OP-2026001166;ES0420850000100000000072;813,62;USD;13/09/2026;Servicios profesionales
OP-2026001167;ES7900810000560000000048;938,02;EUR;13/09/2026;Mantenimiento
OP-2026001168;ES5121000000690000000061;945,86;USD;25/09/2026;Alquiler
OP-2026001169;ES7600490000040000000172;825,05;EUR;25/09/2026;Proveedor
OP-2026001170;ES0301820000920000000180;797,89;EUR;23/09/2026;Material de oficina
OP-2026001171;ES9621000000620000000079;1.031,42;EUR;17/09/2026;Formación
OP-2026001172;ES6001820000960000000219;801,15;USD;20/09/2026;Licencias de software
OP-2026001173;ES5900810000550000000166;838,87;USD;15/09/2026;Servicios profesionales
OP-2026001174;ES4800810000520000000123;964,55;EUR;17/09/2026;Seguros
OP-2026001175;ES4220850000150000000016;624,61;EUR;23/09/2026;Publicidad
OP-2026001176;ES7001280000140000000227;846,79;EUR;25/09/2026;Proveedor
OP-2026001177;ES1800810000550000000225;757,54;EUR;23/09/2026;Seguros
OP-2026001178;ES1200490000020000000161;870,51;EUR;27/09/2026;Mantenimiento
OP-2026001179;ES8901280000110000000129;3.740.018,61;COP;19/09/2026;Alquiler
OP-2026001180;ES1100490000070000000031;877,74;EUR;17/09/2026;Licencias de software
OP-2026001181;ES7101280000160000000014;922,35;EUR;25/09/2026;Comisiones
OP-2026001182;ES2401280000100000000184;661,49;EUR;22/09/2026;Proveedor
OP-2026001183;ES6701820000910000000047;885,97;EUR;24/09/2026;Transporte
OP-2026001184;ES9320850000110000000167;751,78;EUR;16/09/2026;Formación
OP-2026001185;ES9120850000110000000009;916,52;EUR;14/09/2026;Proveedor
OP-2026001186;ES3421000000660000000223;831,77;EUR;16/09/2026;Seguros
OP-2026001187;ES6720850000140000000003;712,11;EUR;21/09/2026;Comisiones
OP-2026001188;ES5801280000190000000101;1.137,87;EUR;15/09/2026;Publicidad
OP-2026001189;ES9321000000610000000182;699,56;USD;24/09/2026;Viajes
OP-2026001190;ES3900810000540000000187;10.120,35;MXN;13/09/2026;Viajes
OP-2026001191;ES5900810000550000000166;1.055,70;EUR;23/09/2026;Viajes
OP-2026001192;ES3820850000150000000185;1.035,74;EUR;19/09/2026;Comisiones
OP-2026001193;ES6600810000500000000091;16.937,80;MXN;18/09/2026;Material de oficina
OP-2026001194;ES7500810000510000000074;1.256,05;EUR;25/09/2026;Material de oficina
OP-2026001195;ES3421000000660000000223;979,33;EUR;18/09/2026;Transporte
OP-2026001196;ES4101820000970000000221;891,19;EUR;21/09/2026;Material de oficina
OP-2026001197;ES4000490000050000000092;814,69;EUR;20/09/2026;Suministros
OP-2026001198;ES2421000000610000000066;735,94;EUR;26/09/2026;Servicios profesionales
OP-2026001199;ES7221000000620000000026;15.551,47;MXN;16/09/2026;Nómina
OP-2026001200;ES7600810000550000000151;655,97;EUR;25/09/2026;Viajes
OP-2026001201;ES2501820000990000000023;764,08;EUR;14/09/2026;Suministros
OP-2026001202;ES5401280000160000000029;913,73;USD;27/09/2026;Material de oficina
OP-2026001203;ES7501820000900000000146;570,65;EUR;21/09/2026;Formación
OP-2026001204;ES6520850000110000000186;789,66;USD;25/09/2026;Viajes
OP-2026001205;ES9301280000190000000247;581,11;EUR;17/09/2026;Formación
OP-2026001206;ES1901820000990000000228;783,88;EUR;17/09/2026;Nómina
OP-2026001207;ES2120850000190000000004;392,62;USD;18/09/2026;Nómina
OP-2026001208;ES5001280000130000000248;1.141,31;EUR;14/09/2026;Material de oficina
OP-2026001209;ES7620850000110000000085;655,80;USD;17/09/2026;Nómina
OP-2026001210;ES0301820000920000000180;13.925,57;MXN;18/09/2026;Nómina
OP-2026001211;ES5801280000190000000101;748,36;EUR;26/09/2026;Formación
OP-2026001212;ES2700490000080000000082;865,49;USD;17/09/2026;Nómina
OP-2026001213;ES0220850000100000000108;811,74;USD;25/09/2026;Formación
OP-2026001214;ES8100810000530000000062;1.153,79;USD;18/09/2026;Transporte
OP-2026001215;ES3101280000140000000056;1.080,84;EUR;18/09/2026;Alquiler
OP-2026001216;ES9120850000110000000009;671,09;USD;18/09/2026;Transporte
OP-2026001217;ES3401820000930000000058;834,48;EUR;24/09/2026;Suministros
OP-2026001218;ES5801280000190000000101;1.225,11;EUR;20/09/2026;Alquiler
OP-2026001219;ES7701820000990000000154;15.871,72;MXN;13/09/2026;Transporte
OP-2026001220;ES4901820000960000000126;18.278,25;MXN;14/09/2026;Servicios profesionales
OP-2026001221;ES5100810000560000000067;906,38;USD;21/09/2026;Servicios profesionales
OP-2026001222;ES9121000000610000000218;993,83;EUR;23/09/2026;Seguros
OP-2026001223;ES3820850000120000000235;645,85;EUR;13/09/2026;Publicidad
OP-2026001224;ES7600490000040000000172;879,94;EUR;24/09/2026;Comisiones
OP-2026001225;ES8020850000110000000110;1.059,28;EUR;18/09/2026;Proveedor
OP-2026001226;ES6000810000540000000100;1.063,05;EUR;13/09/2026;Transporte
OP-2026001227;ES3421000000690000000173;961,55;EUR;16/09/2026;Servicios profesionales
OP-2026001228;ES7120850000130000000077;888,47;EUR;26/09/2026;Licencias de software
OP-2026001229;ES7620850000110000000085;740,10;EUR;17/09/2026;Nómina
OP-2026001230;ES4621000000680000000200;726,67;EUR;17/09/2026;Suministros
OP-2026001231;ES0420850000100000000072;17.677,92;MXN;21/09/2026;Publicidad
OP-2026001232;ES8620850000160000000242;793,75;USD;25/09/2026;Proveedor
OP-2026001233;ES2921000000680000000215;363,08;EUR;26/09/2026;Alquiler
OP-2026001234;ES9201820000900000000034;703,91;EUR;15/09/2026;Licencias de software
OP-2026001235;ES1200490000020000000161;820,32;EUR;23/09/2026;Publicidad
OP-2026001236;ES3601820000990000000116;5.213.238,74;COP;24/09/2026;Viajes
OP-2026001237;ES4000490000050000000092;2.571.042,63;COP;20/09/2026;Suministros
OP-2026001238;ES3820850000120000000235;721,36;EUR;18/09/2026;Servicios profesionales
OP-2026001239;ES0301820000920000000180;1.221,29;EUR;27/09/2026;Viajes
OP-2026001240;ES9500490000010000000171;850,81;EUR;14/09/2026;Comisiones
OP-2026001241;ES6720850000140000000003;700,18;USD;14/09/2026;Formación
OP-2026001242;ES6421000000630000000024;953,65;USD;26/09/2026;Alquiler
OP-2026001243;ES5501280000110000000159;913,71;USD;20/09/2026;Suministros
OP-2026001244;ES3220850000100000000053;693,83;EUR;25/09/2026;Publicidad
OP-2026001245;ES4600810000580000000059;965,49;EUR;20/09/2026;Transporte
OP-2026001246;ES9600490000020000000007;793,22;EUR;19/09/2026;Comisiones
OP-2026001247;ES7120850000100000000224;1.051,06;EUR;14/09/2026;Formación
OP-2026001248;ES3500810000550000000113;17.871,06;MXN;13/09/2026;Formación
OP-2026001249;ES3721000000670000000217;841,55;USD;20/09/2026;Seguros
OP-2026001250;ES9500810000540000000149;4.688.908,52;COP;26/09/2026;Comisiones
OP-2026001251;ES7001820000920000000138;791,89;EUR;14/09/2026;Mantenimiento
OP-2026001252;ES6600810000590000000232;16.968,68;MXN;14/09/2026;Mantenimiento
OP-2026001253;ES6101820000980000000103;1.002,82;USD;18/09/2026;Seguros
OP-2026001254;ES5100810000560000000067;938,64;EUR;23/09/2026;Formación
OP-2026001255;ES5520850000150000000170;890,22;EUR;16/09/2026;Material de oficina
OP-2026001256;ES9001280000150000000109;1.310,32;EUR;22/09/2026;Formación
OP-2026001257;ES3500810000580000000160;922,70;EUR;22/09/2026;Viajes
OP-2026001258;ES7701820000990000000057;1.038,19;EUR;17/09/2026;Material de oficina
OP-2026001259;ES9200810000530000000155;2.598.993,32;COP;26/09/2026;Material de oficina
OP-2026001260;ES3000810000570000000105;1.637.428,80;COP;15/09/2026;Servicios profesionales
OP-2026001261;ES7501820000900000000146;860,69;USD;14/09/2026;Servicios profesionales
OP-2026001262;ES5801280000190000000101;856,35;EUR;14/09/2026;Servicios profesionales
OP-2026001263;ES5900490000010000000237;2.607.939,60;COP;22/09/2026;Viajes
OP-2026001264;ES6700490000010000000190;835,87;USD;24/09/2026;Mantenimiento
OP-2026001265;ES8600810000510000000070;4.395.630,09;COP;17/09/2026;Mantenimiento
OP-2026001266;ES6700490000010000000190;926,03;EUR;17/09/2026;Publicidad
OP-2026001267;ES8721000000680000000141;882,03;USD;16/09/2026;Transporte
OP-2026001268;ES5900490000010000000237;841,38;EUR;25/09/2026;Transporte
OP-2026001269;ES9201280000120000000220;574,19;EUR;18/09/2026;Suministros
OP-2026001270;ES1200810000560000000090;291,85;EUR;24/09/2026;Seguros
OP-2026001271;ES2101820000910000000002;958,94;EUR;22/09/2026;Licencias de software
OP-2026001272;ES7020850000180000000044;644,26;EUR;22/09/2026;Transporte
OP-2026001273;ES1520850000100000000068;1.241,22;USD;23/09/2026;Proveedor
OP-2026001274;ES0201820000900000000199;1.194,38;USD;14/09/2026;Comisiones
OP-2026001275;ES4000490000050000000092;1.365,12;USD;22/09/2026;Servicios profesionales
OP-2026001276;ES2420850000110000000245;743,04;EUR;13/09/2026;Formación
OP-2026001277;ES3500810000580000000160;15.230,37;MXN;20/09/2026;Servicios profesionales
OP-2026001278;ES5121000000690000000061;714,89;EUR;15/09/2026;Publicidad
OP-2026001279;ES4800810000520000000123;865,18;EUR;25/09/2026;Proveedor
OP-2026001280;ES2101820000910000000002;13.070,15;MXN;23/09/2026;Suministros
OP-2026001281;ES0201820000900000000199;890,35;EUR;23/09/2026;Nómina
OP-2026001282;ES3500810000550000000113;744,55;USD;25/09/2026;Suministros
OP-2026001283;ES6520850000110000000186;13.066,44;MXN;19/09/2026;Suministros
OP-2026001284;ES9101280000130000000189;7.886,04;MXN;19/09/2026;Proveedor
OP-2026001285;ES8320850000120000000104;1.054,52;EUR;20/09/2026;Formación
OP-2026001286;ES2120850000190000000004;1.006,08;EUR;13/09/2026;Formación
OP-2026001287;ES6920850000110000000211;557,14;EUR;24/09/2026;Proveedor
OP-2026001288;ES0201820000900000000199;934,77;EUR;18/09/2026;Comisiones
OP-2026001289;ES4201280000170000000099;965,29;USD;20/09/2026;Viajes
OP-2026001290;ES4700810000510000000093;3.901.874,67;COP;14/09/2026;Alquiler
OP-2026001291;ES0201820000900000000199;905,90;EUR;26/09/2026;Mantenimiento
OP-2026001292;ES6701280000160000000086;913,69;USD;17/09/2026;Comisiones
OP-2026001293;ES1501280000130000000005;357,97;EUR;22/09/2026;Alquiler
OP-2026001294;ES7500810000510000000074;705,82;EUR;23/09/2026;Viajes
OP-2026001295;ES1501280000130000000005;530,74;USD;24/09/2026;Nómina
OP-2026001296;ES8020850000110000000110;762,29;USD;15/09/2026;Comisiones
OP-2026001297;ES8701820000950000000073;1.386,52;USD;25/09/2026;Proveedor
OP-2026001298;ES7320850000190000000038;1.471,28;USD;19/09/2026;Publicidad
OP-2026001299;ES1501280000130000000005;21.851,36;MXN;15/09/2026;Transporte
OP-2026001300;ES6901280000100000000150;946,42;EUR;21/09/2026;Licencias de software
OP-2026001301;ES3701280000190000000188;846,65;USD;26/09/2026;Proveedor
OP-2026001302;ES9820850000180000000122;607,97;EUR;27/09/2026;Servicios profesionales
OP-2026001303;ES5500490000050000000210;1.320,75;EUR;14/09/2026;Alquiler
OP-2026001304;ES6520850000110000000089;745,18;EUR;16/09/2026;Comisiones
OP-2026001305;ES3721000000670000000217;547,57;EUR;13/09/2026;Alquiler
OP-2026001306;ES1800810000550000000225;647,46;EUR;16/09/2026;Formación
OP-2026001307;ES7300810000540000000060;14.480,81;MXN;16/09/2026;Material de oficina
OP-2026001308;ES8020850000110000000013;20.231,89;MXN;27/09/2026;Alquiler
OP-2026001309;ES4601820000950000000035;17.208,43;MXN;27/09/2026;Transporte
OP-2026001310;ES7701820000990000000057;21.466,97;MXN;24/09/2026;Licencias de software
OP-2026001311;ES5400810000540000000208;2.030.624,51;COP;20/09/2026;Servicios profesionales
OP-2026001312;ES9500490000010000000171;1.226,62;EUR;27/09/2026;Mantenimiento
OP-2026001313;ES0600490000090000000120;1.043,47;EUR;19/09/2026;Servicios profesionales
OP-2026001314;ES8401820000910000000226;1.098,67;USD;26/09/2026;Licencias de software
OP-2026001315;ES2501820000990000000023;670,89;EUR;15/09/2026;Comisiones
OP-2026001316;ES6500810000520000000011;796,18;EUR;27/09/2026;Comisiones
OP-2026001317;ES6520850000110000000186;386,12;USD;27/09/2026;Transporte
OP-2026001318;ES0701280000170000000050;1.124,71;EUR;20/09/2026;Transporte
OP-2026001319;ES7501820000900000000146;1.371,72;USD;26/09/2026;Transporte
OP-2026001320;ES3400810000510000000036;839,32;USD;14/09/2026;Proveedor
OP-2026001321;ES3921000000640000000231;815,02;USD;19/09/2026;Formación
OP-2026001322;ES8001280000130000000096;983,97;USD;14/09/2026;Mantenimiento
OP-2026001323;ES3520850000140000000191;816,69;USD;23/09/2026;Publicidad
OP-2026001324;ES6920850000110000000211;922,13;EUR;16/09/2026;Comisiones
OP-2026001325;ES6001820000960000000219;888,58;EUR;15/09/2026;Servicios profesionales
OP-2026001326;ES0220850000100000000205;786,46;EUR;27/09/2026;Servicios profesionales
OP-2026001327;ES6300490000040000000212;170,00;EUR;18/09/2026;Publicidad
OP-2026001328;ES7801280000160000000179;1.281,31;USD;24/09/2026;Mantenimiento
OP-2026001329;ES4300810000570000000065;938,86;USD;19/09/2026;Proveedor
OP-2026001330;ES2620850000170000000012;621,46;EUR;27/09/2026;Licencias de software
OP-2026001331;ES8401280000130000000121;853,16;USD;13/09/2026;Alquiler
OP-2026001332;ES7701820000990000000154;456,30;EUR;13/09/2026;Suministros
OP-2026001333;ES5901280000140000000037;1.146,79;USD;17/09/2026;Publicidad
OP-2026001334;ES7300490000030000000081;694,12;EUR;18/09/2026;Material de oficina
OP-2026001335;ES7001280000140000000227;666,50;EUR;17/09/2026;Nómina
OP-2026001336;ES4220850000150000000016;672,89;EUR;17/09/2026;Nómina
OP-2026001337;ES7701820000990000000057;10.602,50;MXN;19/09/2026;Comisiones
OP-2026001338;ES1100490000070000000031;806,30;EUR;13/09/2026;Viajes
OP-2026001339;ES8321000000620000000119;1.283.384,65;COP;17/09/2026;Formación
OP-2026001340;ES6700490000010000000190;5.024.299,44;COP;13/09/2026;Proveedor
OP-2026001341;ES9620850000120000000064;727,56;USD;21/09/2026;Transporte
OP-2026001342;ES4101820000970000000221;823,80;EUR;23/09/2026;Transporte
OP-2026001343;ES0200490000090000000192;9.709,88;MXN;21/09/2026;Proveedor
OP-2026001344;ES4500810000510000000032;545,35;EUR;13/09/2026;Suministros
OP-2026001345;ES2300810000530000000233;950,89;EUR;13/09/2026;Servicios profesionales
OP-2026001346;ES6200810000510000000114;971,63;USD;17/09/2026;Material de oficina
OP-2026001347;ES5900810000520000000216;1.117,89;USD;21/09/2026;Suministros
OP-2026001348;ES7101280000160000000111;19.988,09;MXN;27/09/2026;Seguros
OP-2026001349;ES7920850000120000000176;15.811,18;MXN;25/09/2026;Comisiones
OP-2026001350;ES1800490000040000000246;1.006,76;EUR;16/09/2026;Material de oficina
OP-2026001351;ES2120850000190000000004;17.506,60;MXN;15/09/2026;Alquiler
OP-2026001352;ES0600490000090000000120;591,62;USD;16/09/2026;Nómina
OP-2026001353;ES8521000000620000000083;16.176,86;MXN;20/09/2026;Transporte
OP-2026001354;ES5501280000110000000159;571,04;EUR;13/09/2026;Material de oficina
OP-2026001355;ES3101280000140000000153;1.065,74;USD;24/09/2026;Transporte
OP-2026001356;ES6701820000910000000047;439,40;EUR;13/09/2026;Transporte
OP-2026001357;ES4220850000150000000016;10.729,75;MXN;17/09/2026;Transporte
OP-2026001358;ES6520850000110000000089;714,28;EUR;19/09/2026;Nómina
OP-2026001359;ES9600810000560000000130;871,58;EUR;15/09/2026;Nómina
OP-2026001360;ES7320850000190000000038;2.806.284,21;COP;20/09/2026;Seguros
OP-2026001361;ES5800490000060000000204;1.030,86;EUR;17/09/2026;Alquiler
OP-2026001362;ES4220850000180000000063;508,20;EUR;24/09/2026;Mantenimiento
OP-2026001363;ES5501280000110000000159;1.318,35;USD;25/09/2026;Comisiones
OP-2026001364;ES2720850000120000000045;732,22;USD;26/09/2026;Transporte
OP-2026001365;ES3500490000070000000181;530,59;EUR;26/09/2026;Suministros
OP-2026001366;ES4201280000170000000099;889,05;EUR;20/09/2026;Servicios profesionales
OP-2026001367;ES8620850000160000000145;12.594,92;MXN;16/09/2026;Suministros
OP-2026001368;ES3701280000190000000188;728,76;EUR;13/09/2026;Comisiones
OP-2026001369;ES7300810000540000000060;22.462,61;MXN;15/09/2026;Nómina
OP-2026001370;ES7500810000510000000074;1.173,86;EUR;14/09/2026;Servicios profesionales
OP-2026001371;ES9100490000070000000240;3.096.241,25;COP;14/09/2026;Transporte
OP-2026001372;ES3101280000110000000106;744,18;EUR;15/09/2026;Viajes
OP-2026001373;ES8320850000120000000104;790,80;EUR;18/09/2026;Alquiler
OP-2026001374;ES9621000000620000000079;1.140,86;USD;15/09/2026;Licencias de software
OP-2026001375;ES5900810000520000000216;443,87;USD;23/09/2026;Nómina
OP-2026001376;ES2401820000970000000139;900,19;EUR;26/09/2026;Proveedor
OP-2026001377;ES2800810000510000000241;3.696.997,00;COP;19/09/2026;Formación
OP-2026001378;ES7701820000960000000107;483,58;EUR;19/09/2026;Suministros
OP-2026001379;ES0201820000900000000199;1.155,21;USD;19/09/2026;Formación
OP-2026001380;ES8120850000180000000234;2.094.926,85;COP;24/09/2026;Formación
OP-2026001381;ES7001820000920000000138;981,35;USD;20/09/2026;Seguros
OP-2026001382;ES7600810000520000000201;16.222,53;MXN;14/09/2026;Comisiones
OP-2026001383;ES9500490000010000000171;677,84;EUR;22/09/2026;Formación
OP-2026001384;ES5600810000510000000125;1.125,23;USD;23/09/2026;Comisiones
OP-2026001385;ES2421000000610000000163;1.025,81;USD;27/09/2026;Servicios profesionales
OP-2026001386;ES1800810000550000000225;706,94;USD;15/09/2026;Formación
OP-2026001387;ES5500490000050000000210;4.309.974,99;COP;26/09/2026;Nómina
OP-2026001388;ES1800490000040000000246;2.340.682,91;COP;23/09/2026;Comisiones
